,Shift,WROM_Al2O3,SO_Al2O3,SL_Al2O3,SL_PulpDen,SL_60,SL_100,SL_300,CFO_Al2O3,CFO_10
83,B,2.8630019059720455,1.64,6.3,1.42,2.8,2.5,10.2,3.62,21.299999999999997
84,C,3.8005922847123004,1.73,7.44,1.36,1.3,2.3,9.2,4.86,20.1
85,A,4.966688596491228,3.04,10.1,1.46,2.5,2.9,11.8,5.13,25.3
86,B,4.092256,2.87,7.79,1.51,2.0,3.4,10.899999999999999,4.42,19.9
87,C,4.765403888280394,3.42,8.87,1.41,2.5,2.8,10.899999999999999,4.7,27.099999999999998
88,A,6.063415753250063,5.14,10.44,1.49,2.5,3,10.8,5.62,23.599999999999998
89,B,4.513285984848484,2.44,8.48,1.36,2.3,2.6,9.9,4.08,30.7
90,C,5.835593963626983,3.56,10.04,1.32,1.7000000000000002,2.9,10.7,6,20.8
91,A,5.3576505280482785,2.67,10.39,1.4,2.5999999999999996,2.6,11.2,6.37,24.599999999999998
92,B,4.505627615062761,2.13,10.63,1.37,2.5,2.8,8.9,4.55,21.4
93,C,4.230675960021041,2.11,10.59,1.4,2.7,3.2,10.2,3.72,25.2
94,A,4.927063867534003,3.16,9.32,1.42,2.5,3.3,13.4,4.81,19.8
95,B,5.197802197802198,4.45,10.03,1.36,2.5999999999999996,2.6,10.8,4.48,17.0
96,C,4.576205581820955,2.6,9.52,1.38,3.4,3.5,10.5,4.85,27.7
97,A,3.6803277535518357,2.63,7.91,1.3,3.0,3.6,11.5,3.45,22.6
98,B,5.189777973827377,2.99,9.62,1.42,2.5,3,11.8,5.73,24.799999999999997
99,C,3.8148839196695628,2.76,7.62,1.42,3.1999999999999997,3.9,12.7,3.43,26.0
100,A,5.2975556348923005,4.61,9.16,1.45,2.2,3.6,10.2,4.68,23.4
101,B,4.571749966320894,2.54,10.44,1.44,2.2,2.8,10.7,5.56,18.0
102,C,4.504286105032823,3.19,8.11,1.44,2.2,3.2,11.2,4.64,24.0
103,A,4.513949563145354,2.96,9.92,,2.4,2.8,11.1,4.97,20.7
104,B,4.79381836596894,2.7,8.27,1.49,2.4,2.6,10.9,5.54,24.5
105,C,3.964725313757993,2.18,8.68,1.31,3.1999999999999997,3.3,10.5,4.2,26.6
106,A,4.040394842868654,2.85,7.97,1.46,3.3,3.3,10.3,3.97,19.0
107,A,4.583050847457628,1.82,8.39,1.43,3.5,2.8,8.5,5.03,26.9
108,B,3.0246327493261456,1.71,9.7,1.44,2.6,3,10.4,3.15,23.6
109,C,3.830262362637362,2.07,9.78,1.49,2.7,3.4,11.1,3.33,26.5
110,A,4.865827245380317,3.07,9.86,1.51,2.8000000000000003,4.5,12.7,4.59,26.7
111,B,5.492111056146426,3.78,9.78,1.3,1.6,2.9,9.1,5.6,19.5
112,C,4.439842261439949,3.23,9.58,1.34,2.8,2.9,9.1,4.46,37.7
113,A,4.717212198221093,2.77,9.84,1.37,2.6,3,11.0,5.79,26.2
114,B,3.815089316987741,1.67,9.0,1.46,2.7,3.6,12.5,3.6,23.3
115,C,4.266874308883155,1.81,9.23,1.41,3.3,3,12.1,4.51,23.5
116,A,4.554929944607364,2.14,8.65,1.25,3.5,3.6,10.7,5.47,24.5
117,B,5.885844005999769,4.03,9.42,1.43,2.6,3.5,12.0,6.38,23.1
118,C,5.510645704660305,1.6,9.38,1.45,3.1,2.8,9.600000000000001,5.45,27.3
119,A,4.268515455531454,2.3,9.64,1.49,2.8,2.2,9.2,5.19,32.1
120,B,4.224374772147285,2.6,8.6,1.49,2.4,2.9,9.5,5.28,24.9
121,C,4.47608977398451,3.2,9.46,1.37,2.5999999999999996,2.3,11.8,4.93,23.5
122,A,4.2312640144665465,2.73,9.62,1.34,3.0,3.6,10.899999999999999,5.46,26.0
123,A,4.40876449959536,2.65,9.35,1.32,2.7,3.2,11.2,5.72,28.5
124,B,4.785507246376811,3.46,9.78,1.43,3.8000000000000003,3.2,8.9,5.92,20.4
125,C,4.4459989102796955,3.37,11.46,1.33,3.5,3.9,10.2,4.63,22.7
126,A,3.7476118173258004,1.75,9.82,1.32,2.4,3.3,11.2,5.49,24.4
127,B,4.0054023536895675,3.14,9.47,1.39,2.7,2.8,10.3,5.04,19.5
128,C,4.290892763502884,2.58,9.24,1.34,3.0,3.3,10.5,5.65,19.0
129,A,4.392365642994242,2.37,9.71,1.37,2.3,2.9,10.8,5.55,24.8
130,B,4.5032074844995575,2.64,10.04,1.34,3.2,2.7,9.0,5.51,23.5
131,C,3.680162801881844,3.065238095238095,9.436506955177745,1.33,5.699999999999999,3.8,8.899999999999999,3.26047619047619,23.3
132,A,3.4244100405845592,1.9699601593625495,9.6,1.31,2.6,3.5,10.8,3.75,25.5
133,B,3.726841944359523,1.42,8.33,1.39,2.1,3,10.6,4.43,25.400000000000002
134,C,3.791838071141539,2.15,8.91,1.29,2.6,2.9,9.5,3.9,22.599999999999998
135,A,3.8835947800349793,2.52,9.66,1.32,1.6,2.5,9.3,3.7,18.7
136,B,3.771035577449371,2.44,8.92,1.32,2.7,2.7,10.399999999999999,3.65,24.6
137,C,4.556807184206621,3.35,9.85,1.31,2.1,3,11.4,4.54,24.0
138,A,5.544576055080964,3.88,9.71,1.37,2.8,2.1,9.399999999999999,6.26,31.2
139,A,3.8477971941914837,3.09,8.51,1.37,2.8,3.2,10.8,4.76,27.3
140,B,4.567560228664761,3.06,9.17,1.39,2.5999999999999996,2.8,10.3,4.49,25.8
141,C,5.554803639120545,5.06,8.4,1.34,2.2,2.7,9.7,5.63,14.8
142,A,5.259424938318466,4.46,9.31,1.56,2.8,2.9,11.2,4.68,19.6
143,B,4.998701630049609,3.59,9.7,1.45,2.9000000000000004,4.1,12.1,4.74,25.3
144,C,4.986743618201998,2.91,9.88,1.39,2.6,3,9.600000000000001,5.8,28.4
145,A,,2.83,,,0.0,,0.0,6.1,23.2
146,B,,,,,0.0,,0.0,,
147,C,,,,,0.0,,0.0,,
148,A,3.871021686746988,3.03,9.65,1.32,2.1,2.6,8.5,3.52,40.5
149,B,5.185662636033857,3.74,8.1,1.42,2.1,2.3,9.7,5.93,29.5
150,C,3.7257972819932053,2.12,8.98,1.4,3.0,3.8,11.6,4.71,24.7
151,A,4.125716058960435,3.16,9.07,1.47,3.3,3.1,12.1,4.73,21.700000000000003
152,B,3.127460194174757,2.25,8.1,1.39,2.3,2.4,9.8,3.55,9.9
153,C,3.218731216516399,1.87,7.98,1.3,2.0,2.9,11.399999999999999,3.14,19.9
154,A,3.5352411417322833,2.66,5.51,1.42,2.4,2.6,9.899999999999999,3.94,17.5
155,B,2.807453051643192,1.4,5.52,1.27,5.5,3,9.3,4.22,20.799999999999997
156,C,3.455835619570187,2.48,6.87,1.26,2.7,2.9,11.3,3.84,18.200000000000003
157,A,3.3556535908267953,2.22,6.77,1.28,2.7,3.4,10.4,4.06,18.0
158,B,5.248384451369526,3.78,8.38,1.32,3.3,2.8,8.5,6.53,19.799999999999997
159,C,4.040574632905538,3.59,9.52,1.33,3.8,3.1,10.8,3.49,19.5
160,A,5.414128040663199,4.38,8.68,1.29,2.7,3.1,10.6,5.66,17.9
161,B,4.8333290529695025,3.47,9.91,1.35,1.5,2.3,8.0,6,20.8
162,C,3.7215698808234015,3.45,9.17,1.42,2.5,3.1,11.5,3.1,15.7
163,A,6.320029543843063,3.92,8.89,1.4,1.9,1.9,5.9,8.16,17.2
164,B,4.640880228914021,2.76,9.45,1.43,1.7000000000000002,2.8,9.7,5.55,13.6
165,C,3.308948778038165,1.78,6.45,1.28,2.5,2.5,10.7,4.17,13.8
166,C,3.407761362213597,2.07,6.86,1.35,2.2,2.2,10.2,4.55,28.799999999999997
167,A,3.363681239333071,1.49,9.43,1.3,1.5,2.4,8.9,4.82,11.7
168,B,2.801971955393618,1.81,6.24,1.29,2.8,2.9,10.100000000000001,2.82,30.400000000000002
169,A,3.6695185593531785,1.68,7.63,1.27,1.7000000000000002,2.8,8.3,4.01,26.2
170,B,3.464304442825928,2.1,7.85,1.3,2.7,3.1,10.2,4.25,12.5
171,C,5.14204117807472,3.25,11.47,1.32,3.5,3.9,10.5,7.18,10.4
172,A,5.996075085324232,3.83,7.79,1.22,2.3,2.2,8.2,8.09,26.0
173,B,5.61111747469366,4.37,9.39,1.33,1.7000000000000002,2.6,9.9,6.73,33.9
174,C,4.526442838929026,3.48,8.95,1.38,2.8,2.9,10.1,5.24,30.2
175,A,4.754807813484561,3.72,8.21,1.36,1.8,2,9.0,5.38,19.1
176,B,4.047013634852012,2.99,9.98,1.35,2.8,2.2,10.2,4.1,20.2
177,C,4.808856536602616,2.03,10.1,1.23,2.3,2.5,10.1,6.7,25.5
178,A,6.32742385786802,4.01,10.09,1.42,1.9,2.9,8.6,6.7,22.6
179,B,3.8564017320854873,1.67,10.12,1.46,2.8,3.2,10.5,5.32,31.1
180,C,4.291533260233918,2.87,10.22,1.25,2.2,3.5,12.0,5.7,19.9
181,A,5.12030944075616,3.12,10.68,1.28,2.2,2.9,9.5,6.52,19.2
182,B,4.899876113046845,3.5,10.77,1.35,2.5,3.2,10.5,6.09,27.1
183,C,4.98387978815125,3.59,10.11,1.23,2.5,3.9,10.8,5.78,18.9
184,A,6.614838396448883,4.36,9.83,1.3,2.5,2.9,10.3,8.15,19.4
185,B,3.713174578142249,2.62,8.46,1.32,2.4,3,8.4,3.99,19.8
186,C,5.504287336024218,4.15,10.84,1.35,1.7000000000000002,2.9,10.100000000000001,6.22,12.7
187,A,6.002895768025078,2.62,11.52,1.33,2.4,2.9,9.399999999999999,8.59,20.9
188,B,3.5674715959980925,2.75358024691358,11.260315457413247,1.3,2.4,2.6,10.8,4.2023659305993695,23.7
189,C,3.3498062614067106,2.54,8.63,1.34,2.7,3,11.8,3.66,20.200000000000003
190,A,4.888357311965033,3.17,8.97,1.3,3.1,3.9,11.7,6.52,39.7
191,B,3.314077963607852,2.0011904761904757,8.127446808510639,1.32,2.3,4.1,11.5,4.410091185410334,16.200000000000003
192,C,4.914077319587628,3.82,10.55,1.32,1.8,3.4,11.0,6.23,25.1
193,A,,,,,0.0,,0.0,4.35,35.699999999999996
194,B,3.600443185604798,2.65,,,0.0,,0.0,4.35,35.699999999999996
195,C,2.6062765639030228,1.35,4.93,1.37,3.5,4.2,10.5,3.63,23.3
196,A,2.683973764409699,1.86,4.93,1.37,3.5,4.2,10.5,2.92,30.5
197,B,3.4534221146085553,2.55,10.3,1.33,2.4000000000000004,3.1,10.5,4.31,27.200000000000003
198,C,3.764961275626424,2.21,9.24,1.41,2.2,3.3,11.2,5.48,17.0
199,A,3.0047928854197563,1.5289243027888446,8.250046224961478,1.32,4.5,4.6,11.5,3.5282868525896416,30.7
200,B,4.485337350821221,3.21,8.03,1.28,3.3,3.9,11.5,4.83,25.200000000000003
201,C,4.9782544599935905,4.3,9.09,1.29,2.2,2.9,9.2,5.09,21.900000000000002
202,A,3.3093682262754425,2.31,7.01,1.51,3.6999999999999997,4.2,11.8,2.17,29.1
203,B,2.5650199244966445,2.31,8.17,1.29,2.0,2.7,11.0,2.74,26.3
204,C,3.704059684684685,2.49,7.56,1.29,2.1,2.8,9.6,4.68,28.099999999999998
205,A,,2.23,7.54,0,2.5,2.9,11.2,4.57,15.9
206,B,,,,,0.0,,0.0,,0.0
207,C,,,,,0.0,,0.0,,0.0
208,A,3.6960492125984254,2.48,7.89,1.32,3.6999999999999997,4.5,11.6,4.15,31.7
209,B,4.232140190792203,2.86,8.71,1.26,2.5999999999999996,3,11.1,4.48,40.0
210,C,4.7992915678240236,3.18,9.29,1.32,2.1,2.9,9.4,5.21,31.1
211,A,4.007035938797297,1.53,8.11,1.37,3.6999999999999997,4.1,11.8,5.32,27.2
212,B,4.731057213930348,3.3,9.63,1.36,3.0,5.1,12.4,5.52,23.1
213,C,4.183799614252361,1.59,9.59,1.31,2.7,3.3,11.1,4.72,13.2
214,A,4.890223690899847,2.47,9.66,1.25,2.4,3.2,9.1,5.02,14.4
215,B,4.072951971326164,3.51,9.37,1.33,2.2,2.6,11.0,3.78,17.5
216,C,4.063068965517242,2.58,9.73,1.26,3.2,3.8,11.100000000000001,4.14,22.8
217,A,4.039089952041174,2.6,8.58,1.31,2.3,2.6,11.6,4.22,11.1
218,B,4.041773541305604,1.86,9.32,1.36,1.6,2.7,9.9,5.28,35.1
219,C,4.01551606449335,2.3,10.26,1.33,2.5,3.1,9.8,4.56,20.2
220,A,5.314893970893971,2.98,10.15,1.23,1.8,2.7,10.5,6.3,23.2
221,B,5.038368029739777,3.09,9.75,1.34,1.6,2.6,8.3,5.23,17.6
222,C,5.491132682828688,3.02,9.62,1.31,2.5,2.9,10.5,5.97,19.3
223,A,4.6089143612917445,3.11,7.71,1.48,2.9,3.7,11.8,4.56,15.8
224,B,3.906949173300674,2.28,8.38,1.41,2.8,4.5,12.1,4.15,14.6
225,C,5.636661918811679,4.22,8.27,1.25,4.2,4.6,11.2,5.71,6.1
226,A,4.981866265699628,2.52,8.0,1.44,2.4,3.2,10.0,6.93,18.3
227,B,3.778755995203837,2.08,9.42,1.44,5.6,4.3,10.7,5.19,12.8
228,C,3.7756937646307724,2.17,8.88,1.36,5.6,3.5,10.8,4.29,11.3
229,A,5.159809885931559,3.48,9.81,1.29,2.1,3,10.8,4.68,21.1
230,B,4.0208437146092875,2.96,8.91,1.39,2.5,3.4,13.5,3.88,13.1
231,C,4.5854089177683175,2.72,9.16,1.3,2.8,3.9,11.1,5.48,18.200000000000003
232,A,4.358685169940021,2.84,7.77,1.35,2.9000000000000004,3.8,11.3,4.18,23.2
233,B,4.472777700926822,2.61,8.93,1.27,2.1,2.9,9.6,4.83,14.3
234,C,6.0136272251308895,3.19,10.95,1.27,2.8000000000000003,3.3,9.7,7.15,20.0
235,A,5.901502782931354,2.82,9.48,1.2,2.5999999999999996,3.2,11.2,7.82,30.8
236,B,4.572344861021332,2.23,8.4,1.34,2.6,3.1,9.3,4.6,32.5
237,C,3.075043665188768,1.43,8.67,1.32,3.1999999999999997,3.9,10.5,3.74,21.2
238,A,3.92689381933439,2.17,8.68,1.39,2.3000000000000003,0.9,2.0,4.53,14.4
239,B,3.5591064681040225,2.07,8.96,1.41,3.0,2.6,9.2,4.55,10.4
240,C,3.970035583231402,2.73,9.49,1.26,3.1999999999999997,2.9,6.4,4.17,18.3
241,A,4.098010084860411,2.41,9.53,1.28,2.8000000000000003,3,9.899999999999999,4.5,15.7
242,B,5.862249348958333,4.18,10.54,1.23,3.4000000000000004,3.3,10.0,6.03,15.9
243,C,4.423294725090706,3.35,10.68,1.32,2.4,2.9,10.7,5.27,16.6
244,A,5.140216872264226,3.27,8.95,1.29,1.7000000000000002,2.8,9.6,5.25,29.4
245,B,4.640983333333334,2.83,7.36,1.31,2.8,3.6,11.100000000000001,4.47,28.0
246,C,4.652977123158884,4.15,10.25,1.26,1.9,1.9,16.9,5.22,10.5
247,A,4.430154111228104,2.24,8.36,1.31,2.3,2.9,10.4,4.08,12.2
248,B,4.140863630565123,2.73,6.76,1.38,2.4000000000000004,3,9.399999999999999,4.46,12.6
