,Shift,WROM_Al2O3,SO_Al2O3,SL_Al2O3,SL_PulpDen,SL_60,SL_100,SL_300,CFO_Al2O3,CFO_10
318,C,2.3531153685964177,1.93,6.41,1.25,2.7,3.4,11.1,2.43,21.2
319,A,3.3597272047832587,1.81,8.47,1.35,2.5,3.3,13.399999999999999,3.3,19.6
320,B,4.373281393217232,3.41,7.13,1.39,2.8,3.5,12.4,4.65,10.0
321,C,4.125804615543827,2.67,6.96,1.4,2.6,2.8,12.1,4.47,21.3
322,A,4.30395910481404,3.01,8.88,1.4,2.7,3.2,10.8,4.95,20.8
323,B,4.05404181184669,3.13,9.42,1.29,2.0,3.8,12.2,3.86,26.8
324,C,4.148182373792935,2.56,8.31,1.27,1.7,2.8,9.6,3.49,21.4
325,A,4.693223417794747,2.52,8.37,1.26,2.6,3.1,11.0,3.34,6.9
326,B,4.635867576110464,3.76,9.11,1.33,2.2,2.9,10.6,3.89,13.4
327,C,4.346467839134178,3.01,9.42,1.37,2.1,2.4,8.7,3.95,13.2
328,A,4.302445520581114,2.63,8.78,1.35,2.5,2.6,10.8,4.25,15.8
329,B,4.892293687255402,2.73,8.58,1.23,0.30000000000000004,0.2,0.8999999999999999,4.25,17.3
330,C,4.844990111248456,2.93,8.08,1.26,2.5,2.2,8.1,4.23,14.3
331,A,4.824490337248958,2.79,8.85,1.49,2.0,2.6,8.1,3.81,18.3
332,B,5.3027226890756305,3.26,7.96,1.52,2.3,3,8.2,4.8,20.7
333,C,3.313258097165992,1.67,7.52,1.42,2.1,2.9,10.3,3.12,17.1
334,A,3.6122707319966785,2.33,7.71,1.41,2.6,3.1,9.5,2.99,21.4
335,B,3.8605008967460925,2.41,9.24,1.43,2.4,2.9,11.0,3.75,23.9
336,C,4.027396699669967,2.45,7.91,1.41,2.5,3.2,11.7,3.68,13.9
337,A,4.276022835394862,2.83,8.14,1.35,2.5,3.1,10.7,3,20.7
338,B,3.848060266505148,2.19,8.72,1.34,2.7,2.7,10.3,3.53,17.2
339,C,4.327873074022197,2.84,7.98,1.37,1.9,2.5,8.9,4.03,13.3
340,A,4.532658109926508,3.4,7.68,1.43,2.5,3,9.6,4.01,14.4
341,B,3.457370299203953,2.2,9.0,1.23,1.9,2.8,10.100000000000001,4.12,18.8
342,C,3.7134648325979756,2.07,7.89,1.3,2.2,3,9.2,4.12,22.1
343,A,3.82221285696314,2.49,7.53,1.28,2.0,3.2,9.7,3.75,14.2
344,B,3.258394900294214,2.37,8.6,1.32,3.1999999999999997,3.3,10.2,2.86,15.0
345,C,3.4254503816793895,2.61,9.36,1.28,2.4000000000000004,3,9.5,3.45,18.8
346,A,3.2597458466277915,1.98,7.94,1.28,3.3,3.4,10.100000000000001,3.55,13.5
347,B,4.04755659232022,2.489402390438247,7.4732812499999985,1.38,2.5999999999999996,3.3,11.7,4.443843749999999,15.1
348,C,3.7216528186033635,2.6730708661417317,7.76,1.32,3.1999999999999997,3.9,10.399999999999999,3.622204724409449,12.5
349,A,3.772420197975754,2.38,7.65,1.31,2.8,3.4,11.2,3.85,20.0
350,B,3.568322469982847,2.64,7.59,1.3,2.9,3,10.399999999999999,3.57,8.1
351,C,3.766435422708008,2.16,7.63,1.29,3.5,3.6,10.8,3.53,18.2
352,A,3.952238169993272,2.58,8.01,1.2,2.0,3,8.8,3.83,14.2
353,B,4.1258167233835685,2.64,7.53,1.39,2.7,2.6,10.4,4.33,16.5
354,C,3.9727748351529564,2.18,7.59,1.42,2.2,2.8,9.2,4.66,15.9
355,A,3.6728365511769376,2.29,8.43,1.35,2.5,2.4,11.2,3.75,21.1
356,B,3.3615327681334946,2.05,7.5,1.43,2.5,2.6,10.7,2.97,22.4
357,C,4.022271182008368,2.45,7.5,1.31,2.3,2.3,10.100000000000001,3.89,17.5
358,A,3.1483560497369676,2.01,6.74,1.38,2.7,3.3,10.600000000000001,2.9,17.3
359,B,3.619992319508448,2.09,7.59,1.3,1.8,2.9,9.6,3.3,14.600000000000001
360,C,3.442166762507188,1.73,10.29,1.32,2.7,3.5,10.4,2.5,13.6
361,A,3.769858241230178,1.97,9.63,1.23,2.3,2.9,9.6,2.79,11.4
362,B,3.800744122586062,1.63,8.08,1.42,2.7,3.4,11.399999999999999,3.47,15.200000000000001
363,C,3.969929389975692,1.58,10.89,1.48,2.8,3.8,10.8,3.57,13.7
364,A,4.412586835074083,2.77,10.37,1.42,2.4000000000000004,3.4,10.8,3.36,20.9
365,B,3.401855220080029,2.97,8.55,1.38,2.7,3.9,10.8,3.51,21.3
366,C,4.238100673910053,2.73,11.08,1.33,2.7,3.5,10.4,3.49,11.600000000000001
367,A,4.225650157670191,1.82,9.74,1.5,2.1,2.8,7.3,3.27,21.5
368,B,3.5300306584910697,2.04,6.74,1.37,2.4,2.9,9.1,3.13,14.399999999999999
369,C,5.553052854122622,4.06,11.08,1.28,2.7,3.1,10.6,4.28,16.0
370,A,5.211551834334655,3.79,9.29,1.35,1.8,2.8,9.6,4.35,16.599999999999998
371,B,2.5616379310344826,2.38,9.1,0,1.7000000000000002,3,9.7,2.87,10.8
372,C,3.7267805755395678,3.4,6.98,1.4,2.3,3,9.899999999999999,3.54,18.0
373,A,3.923352826510721,2.19,8.7,1.44,2.0,2.7,9.0,4.05,10.5
374,B,3.8888343558282203,3.64,9.16,0,2.5,3.2,9.2,2.94,19.8
375,C,3.909398305084745,3.28,9.16,0,2.5,3.2,9.2,2.65,17.9
376,A,3.8265647764605055,2.37,6.38,1.4,2.7,3,10.2,3.82,17.0
377,B,4.5689372599231755,3.32,6.49,1.42,2.7,3.6,10.5,4.7,17.599999999999998
378,C,4.439398598236492,2.81,9.5,1.39,2.0,3,11.399999999999999,3.37,21.1
379,A,4.5305831363278175,3.36,6.34,1.37,1.5,2.7,10.0,4.56,13.2
380,B,4.364063089307302,2.1888979591836732,9.430334928229666,1.41,1.7,2.1,10.0,4.658851674641149,12.8
381,C,4.904276849933962,3.065390625,9.492147239263804,1.24,2.2,2.2,9.899999999999999,4.755920245398774,16.2
382,A,4.375373058744091,3.1,6.86,1.38,2.4,3.1,10.899999999999999,4.27,11.799999999999999
383,B,3.458750290360047,1.45,7.56,1.37,3.0,3.3,10.0,3.54,14.0
384,C,3.652405413718856,2.45,7.2,1.45,2.3,3,11.5,3.3,19.6
385,A,3.256439501275149,1.92,5.97,1.24,3.8,3.3,9.399999999999999,3.12,15.8
386,B,4.213338762214983,2.84,8.1,1.45,3.6999999999999997,3.4,10.399999999999999,3.76,11.9
387,C,3.7412354671522623,2.09,7.37,1.4,2.5999999999999996,2.6,10.7,3.74,17.9
388,A,3.608557631211082,2.25,6.92,1.33,2.4,3.4,10.7,3.25,17.4
389,B,3.3233305932319492,1.68,7.52,1.42,2.7,2.6,10.7,2.77,16.2
390,C,3.4507123888696456,1.83,7.32,1.35,1.9,2.1,10.0,3.07,19.8
391,A,3.172688093498904,1.88,6.49,1.37,2.0,2.1,9.1,2.95,17.0
392,B,3.5300000000000002,1.85,6.89,1.42,2.0999999999999996,4.3,10.9,3.39,10.1
393,C,3.5591142243814256,2.73,7.18,1.38,1.9,2.2,8.7,2.94,12.0
394,A,4.00059450122355,1.76,7.07,1.42,2.4000000000000004,2.6,9.3,3.04,15.0
395,B,3.351820413889863,2.36,8.19,1.33,2.2,2.9,9.4,2.98,18.7
396,C,3.206612208853074,1.44,8.06,1.38,1.9,2.9,9.2,3.34,3.7
397,A,3.349001694094869,2.07,7.14,1.49,2.5,2.6,9.8,3.1,16.0
398,B,4.36499426473962,3.31,6.94,1.46,2.2,3.2,11.0,4.78,13.200000000000001
399,C,4.316126703731601,3.230602409638554,7.026614173228347,1.39,1.7,2.6,9.2,4.8023622047244094,12.3
400,A,3.4592460041695627,2.27,7.3,1.49,2.3,3.2,8.899999999999999,3.79,18.0
401,B,2.4648850235849054,2.5,8.2,1.22,2.6,2.8,10.3,1.63,16.9
402,C,3.8026882502728268,1.7,8.07,1.29,1.9,2.5,8.4,4.55,15.0
403,A,4.186100989653622,2.15,8.2,1.34,2.4000000000000004,2.7,10.399999999999999,4.42,14.5
404,B,3.8408144589338824,1.59,8.23,1.3,2.2,3.3,10.399999999999999,3.69,18.1
405,C,3.616744667303407,2.24,7.45,1.29,1.8,2.5,10.5,4.03,15.5
406,A,3.0035409678965017,2.45,8.25,1.31,2.1,3.1,11.7,3.63,12.1
407,B,4.197062937062937,2.56,8.41,1.34,2.5999999999999996,3.6,10.0,4.26,7.8
408,C,3.3567696739557418,1.6,8.11,1.29,2.4000000000000004,3.2,10.4,3.37,15.9
409,A,2.884030150753769,2.69,4.16,1.43,2.5,3.2,10.9,2.57,15.0
410,B,4.736395859917766,3.32,7.7,1.52,1.7999999999999998,2.9,9.2,4.95,12.9
411,C,4.102041759642971,2.29,6.38,1.49,2.5,2.8,8.4,4.37,16.0
412,A,4.277842323651452,2.03,9.35,1.41,1.3,2.6,9.899999999999999,4.69,16.8
413,B,4.115331055104655,2.52,7.1,1.35,2.0,2.6,10.5,4.47,13.3
414,C,3.796467136150235,2.5,6.29,1.4,1.7999999999999998,2.8,9.6,3.93,20.1
415,A,3.9887393021724815,2.56,6.57,1.27,2.4,2.6,10.2,3.58,12.6
416,B,4.748415603900975,2.63,7.67,1.32,2.5,3.5,9.8,4.07,17.6
417,C,4.731698488162425,2.99136,7.039387442572741,1.22,2.0,3.7,9.1,4.414364471669219,17.4
418,A,3.2261033541967583,2.19,7.19,1.24,2.4,3.3,11.600000000000001,4.42,17.4
419,B,3.488082146886713,2.315294117647059,7.493343749999998,1.29,2.7,3.1,9.6,3.7527058823529416,12.6
420,C,3.832079636019083,2.84376,6.944283513097072,1.22,2.4,2.9,10.2,3.41448,14.7
421,A,3.3851463576563963,2.332589641434263,5.960030487804879,1.27,2.0,3,11.6,3.7635059760956175,14.1
422,B,3.0050722424396725,1.7954032258064516,6.697407407407407,1.43,2.4,3.1,10.4,3.0254032258064516,13.7
423,C,2.963252919145186,1.64,7.68,1.49,2.8,3.3,10.7,2.62,13.8
424,A,3.0334144447320734,1.81,9.34,1.39,2.5,2.9,10.8,2.98,20.5
425,B,3.0753573939535976,2.25,6.56,1.39,1.9,2.6,9.6,2.87,10.7
426,C,4.079526120832801,2.19,11.24,1.5,2.7,3.3,9.2,3.83,12.8
427,A,3.6437758560243076,2.81,8.75,1.43,2.2,2.8,11.399999999999999,3.02,13.8
428,B,2.840465604026846,2.08,4.69,1.42,2.5,3,11.3,2.83,15.3
429,C,2.881650758688204,1.6,6.71,1.35,2.4,2.9,10.7,3.09,13.5
430,A,4.396598919840819,4.71,8.46,1.51,2.1,2.9,9.4,3.75,12.8
431,B,3.938643861781559,3.15,6.73,1.37,2.4000000000000004,2.6,9.600000000000001,4.44,12.6
432,C,3.450326522013903,2.82,8.03,1.28,2.8,3,9.3,3.47,16.3
433,A,3.674104395604396,3.02,7.82,1.48,1.2,1.4,4.5,3.39,11.9
434,B,3.960598015208146,2.76,8.06,1.51,1.7999999999999998,1.9,8.1,4.17,14.7
435,C,4.3497251208959025,3.58,9.86,1.41,2.0,2.8,8.7,3.79,16.8
436,A,4.342130555094361,3.7623529411764705,8.020030959752322,1.49,2.2,2.4,9.5,3.2896470588235296,14.7
437,B,4.597000010299472,2.8785062240663897,10.047351524879614,1.42,2.5,2.9,10.899999999999999,4.235345104333868,17.4
438,C,4.559572534383856,4.151203703703704,4.517777777777777,1.37,1.9,2.7,10.0,4.8348148148148145,18.0
439,A,,3.24,8.47,,1.7000000000000002,2.9,10.8,4.51,12.2
440,B,,,,,0.0,,0.0,,
441,C,,,,,0.0,,0.0,,
442,A,4.99186123805567,2.59,8.309999999999999,1.4,2.9000000000000004,2.9,10.7,4.09,6.1
443,B,4.543813766596785,3.72,7.26,1.49,2.9000000000000004,2.9,10.7,4.43,13.3
444,C,4.404234984047718,3.4,9.36,1.33,1.4,2.8,9.4,4.08,16.5
445,A,4.560981406402908,3.34,8.71,1.38,1.9,2.2,8.5,4.83,18.1
446,B,3.839070481507327,2.71,7.08,1.28,2.4000000000000004,2.6,8.8,3.9,16.5
447,C,3.682662280701754,2.37,8.62,1.24,1.5,2.9,10.2,3.53,16.5
448,A,4.7014321758981135,3.48,9.53,1.35,2.5,3.1,9.100000000000001,3.69,13.299999999999999
449,B,4.487453732455595,4.2,8.29,1.24,2.5,2.6,10.7,3.46,16.1
450,C,5.497016352201258,4.06,8.63,1.42,1.6,1.9,8.3,6.23,12.5
451,A,5.472604637157482,3.93,10.33,1.29,2.4,2.4,9.7,5.08,11.3
452,B,4.5106690975387425,2.9,8.7,1.3,2.5,3,10.4,4.41,15.0
453,C,4.192757802746566,2.09,8.94,1.26,1.7999999999999998,2.2,9.2,4.5,15.899999999999999
454,A,3.822889077876322,2.45,7.61,1.22,2.4000000000000004,3.3,10.6,3.62,16.3
455,B,3.126366848699004,1.92,6.88,1.72,2.2,2.9,9.4,3.17,15.6
456,C,3.8612111129595736,2.67,7.95,1.33,2.5,3.3,10.0,3.71,9.0
457,A,3.7079630732578917,1.81,7.22,1.31,2.5,2.6,9.399999999999999,3.95,12.3
458,B,3.716392835083385,2.45,7.57,1.3,2.5,2.3,10.600000000000001,3.58,16.5
459,C,4.393425497454882,3.08,7.49,1.36,2.6,2.9,10.5,4.36,14.7
460,A,3.899272952853598,2.01,6.43,1.38,2.5,3.2,11.2,4.31,12.7
461,B,3.408797936131641,2.31,6.87,1.43,2.5,2.5,10.600000000000001,2.8,16.6
462,C,3.4347947005365156,2.11,7.14,1.34,2.2,4.1,10.3,3.16,9.6
463,A,4.239691640568538,2.99,7.86,1.28,3.1,2.9,9.1,3.42,11.6
464,B,4.65015269929061,2.72,8.7,1.33,2.5999999999999996,3.2,10.2,4.21,11.3
465,C,3.9437819664902998,2.14,8.07,1.32,2.1,2.7,8.4,3.69,12.8
466,A,3.380582870172439,2.36,7.57,1.28,3.5,2.6,9.4,3.01,12.3
467,B,3.9195928253469488,1.99,7.71,1.32,2.5,3.1,10.7,3.76,14.7
468,C,4.774542161692263,3.65,9.24,1.41,2.5,3.3,9.8,5.34,16.9
469,A,4.550887141433161,3.36,8.36,1.32,2.3,2.3,8.2,4.2,9.1
470,B,4.198721491816475,2.25,9.42,1.39,1.9,2.8,9.4,3.93,8.7
471,C,4.3891801675977655,2.75,8.21,1.27,2.8,3.1,9.1,4.68,10.1
472,A,4.374932735426009,2.32,8.89,1.42,2.4,2.6,9.7,4.34,17.6
473,B,4.007899686520377,2.33,8.28,1.35,1.7000000000000002,2.5,8.4,3.83,15.299999999999999
474,C,4.285136436597111,2.4,9.83,1.49,2.3,3,10.4,3.62,13.200000000000001
475,A,4.013165532879818,2.64,8.71,1.33,2.2,2.3,9.7,3.31,14.9
476,B,3.3774104794659117,1.37,9.13,1.44,2.4,2.8,10.899999999999999,3.04,11.3
477,C,3.9504414682539677,2.58,8.82,1.42,2.7,3.1,10.5,3.62,13.899999999999999
478,A,3.979926576446876,1.7,9.2,1.32,2.1,2.9,10.3,3.87,13.2
479,B,4.299082082965578,2.9,8.93,1.48,2.3,3.1,9.0,3.43,10.2
480,C,4.074998350016499,2.88,8.72,1.41,2.7,3.3,9.5,3.33,20.7
481,A,3.562211802950738,2.58,8.66,1.26,2.1,3.2,9.899999999999999,2.09,16.5
482,B,4.150244565217391,2.64,9.26,1.33,2.4,2.7,8.899999999999999,3.52,11.2
483,C,3.3785710805213793,1.65,6.98,1.23,2.8,3.2,9.899999999999999,2.82,23.4
484,A,4.061640186357663,2.43,7.68,1.38,2.1,2.9,10.5,3.42,12.9
485,B,4.869920278301203,3.51,8.08,1.38,2.4,2.7,10.5,4.82,15.600000000000001
486,C,5.81446675900277,3.42,8.4,1.49,2.8,3.3,8.8,6.99,9.8
487,A,5.1700187289299535,3.18,9.01,1.38,2.2,2.9,10.3,5.65,16.4
488,B,5.966719014626635,3.53,8.94,1.27,2.4000000000000004,3.4,10.399999999999999,5.69,17.1
489,C,5.634794330183435,3.88,8.34,1.31,2.5999999999999996,3.1,9.9,4.92,19.0
490,A,4.754723090386299,2.6,7.99,1.31,2.0,2.6,10.0,4.09,15.6
491,B,3.2278273191006988,1.87,8.17,1.27,2.5,2.9,11.2,2.89,17.3
492,C,4.003253131588739,2.38,8.6,1.28,2.4,3.3,10.3,4.17,15.899999999999999
493,A,4.121263520157326,2.74,8.59,1.31,2.5,2.6,10.2,3.82,19.8
494,B,3.7130377498149523,2.72,8.8,1.48,2.8,2.8,10.399999999999999,3.57,12.8
495,C,3.6466506504160323,2.45,8.75,1.36,2.2,2.3,11.8,3.65,15.1
496,A,4.347445891994117,3.09,9.34,1.34,1.7999999999999998,2.3,9.3,3.55,12.5
497,B,3.687955163043479,2.58,8.81,1.32,1.9000000000000001,2.5,9.2,3.87,14.6
498,C,4.080851324828264,3.11,10.09,1.25,2.6,3.1,10.2,3.43,16.9
499,A,3.7922441538848384,2.06,9.46,1.28,2.3,2.9,9.7,4.21,15.5
500,B,3.315832089552239,2.04,9.97,1.32,2.8,3.2,10.5,2.49,16.4
501,C,4.208306795564401,2.8,9.11,1.3,2.1,3.3,12.100000000000001,4.16,12.6
502,A,,,,,0.0,,0.0,,
503,B,,,,,0.0,,0.0,,
504,C,,,,,0.0,,0.0,,
505,A,3.3334911591355594,2.08,7.78,1.42,2.2,2.5,10.6,3.26,25.0
506,B,4.726532435404068,3.73,8.42,,2.1,2.2,10.5,3.62,23.3
507,C,3.661014669926651,3.06,7.53,1.27,2.5,3.1,10.7,3.83,18.8
508,A,4.636701908200102,2.77,7.96,1.34,1.6,2.1,8.899999999999999,4.47,13.4
509,B,3.8890915208613728,1.83,7.72,1.39,2.2,3,8.899999999999999,3.78,16.5
510,C,3.7206645174708823,2.43,7.65,1.28,1.7,3,10.5,3.75,14.5
511,A,3.8143970345963756,2.28,7.83,1.28,2.5,3.2,9.5,4.08,17.3
512,B,4.848426312460468,3.49,8.62,1.42,2.8,3.6,10.9,5.22,16.0
513,C,4.806394096099979,3.02,8.23,1.33,2.1,3.1,10.8,5.51,17.0
514,A,4.793572083428833,2.75,7.19,,1.9,3.1,9.899999999999999,4.88,16.7
515,B,3.425174686882004,2.53,6.16,1.51,2.2,3.9,10.899999999999999,3.54,15.5
516,C,4.103756103515625,2.9,8.3,1.38,2.5,3.1,11.5,4.18,15.399999999999999
517,A,4.876918906448263,2.26,9.75,1.4,1.7999999999999998,2.3,8.8,5.32,23.4
518,B,2.835351141749246,1.63,7.95,1.47,2.0,2.4,9.0,4.22,25.0
519,C,4.813398490659409,2.72,8.34,1.37,2.3,2.6,10.899999999999999,6.16,13.7
520,A,6.091794187842202,3.95,10.64,1.36,2.4,2.9,9.2,5.79,21.6
521,B,4.660962099125364,2.88,9.37,1.38,2.6,3.8,10.6,4.94,22.2
522,C,4.846758291685598,2.89,8.67,1.4,2.5,3.2,10.3,5.09,24.1
523,A,5.147385530502144,3.9,8.24,1.32,1.8,2.6,8.1,4.85,16.8
524,B,3.549771689497717,2.65,7.5,1.23,1.9000000000000001,2.1,8.1,3.3,6.300000000000001
525,C,4.816001962562699,3.218418972332016,8.081879815100153,1.29,2.6,3.5,11.899999999999999,5.3615408320493065,15.5
526,A,4.70039475376109,3.42,8.92,1.22,1.8,2.3,9.399999999999999,4.23,8.6
527,B,5.2768587853773585,3.1,9.45,1.26,2.7,2.7,8.7,6.16,7.0
528,C,3.834843663068877,1.89,7.77,1.38,1.7000000000000002,2.8,9.3,3.88,11.1
529,A,3.7746134115060457,2.26,8.62,1.25,2.8,2.9,10.2,3.2,11.9
530,B,3.561201224177505,2.45,8.04,1.26,1.8,2.2,8.7,3.51,9.0
531,C,4.598985810306199,3.21,8.18,1.34,2.5999999999999996,3.4,11.5,3.79,5.6000000000000005
532,A,4.110788367203925,3.16,8.01,1.25,2.4,3.1,11.1,3.39,5.8999999999999995
533,B,3.8450054593667136,2.06,8.39,1.43,1.9,2.6,9.8,3.17,8.8
534,C,3.9806337480559875,2.37,9.72,1.31,2.8,2.8,10.3,3.01,15.700000000000001
535,A,3.8615019200682688,2.33,8.29,1.27,2.3,3.1,10.3,3.14,7.4
536,B,3.4163142594859246,2.1,8.91,1.36,4.6,1.9,5.6,3.16,9.4
537,C,3.6559816219369896,1.69,10.16,1.29,3.8,3,9.8,2.93,10.2
538,A,3.319020379805466,1.19,8.94,1.32,1.9,2,9.8,3.04,10.9
539,B,3.103538816841357,1.59,10.11,1.37,1.7000000000000002,2.9,10.3,3.15,10.799999999999999
540,C,3.7055591096894576,2.05,8.72,1.38,1.8,3,9.8,3.5,10.0
541,A,3.4058458149779733,1.62,7.97,1.22,1.6,2.6,9.8,3.89,3.9
542,B,5.997707233556856,4.31,9.02,1.38,1.6,2.5,8.1,6.21,6.1000000000000005
543,C,5.541275159976731,3.85,9.22,1.32,1.7999999999999998,2.9,9.8,5.72,9.1
544,A,4.568493710353725,2.0,7.96,1.36,2.3,2.2,10.3,4.01,8.9
545,B,3.739946162128903,2.85,8.58,1.33,2.5,3,9.3,3.56,9.600000000000001
546,C,6.2948764705882345,6.06,8.86,1.31,2.7,3.3,9.9,5.52,11.6
547,A,4.6034322414900455,4.38,8.67,1.27,2.1,3.6,10.7,3.44,4.5
548,B,4.589142016188374,3.0,8.81,1.33,1.7000000000000002,2.5,9.3,4.66,5.3999999999999995
549,C,4.025139723557692,2.28,8.81,1.41,2.4,3.1,9.2,3.86,7.199999999999999
550,A,3.9808216880939065,2.76,9.11,1.36,2.2,2.2,9.8,4.1,11.0
551,B,3.2643831370117793,2.18,8.83,1.36,2.2,2.8,10.7,2.83,11.2
552,C,4.85990914990266,2.75,8.92,1.41,2.1,3.2,9.5,5.86,5.7
553,A,3.6953867505551448,2.46,8.51,1.36,1.6,2.3,8.5,3.37,8.5
554,B,,,8.76,,2.0,2.1,9.4,,
555,C,4.82407190412783,4.42,8.47,1.32,2.1,2.2,9.2,4.29,11.0
556,A,5.353154352149304,3.49,9.46,1.35,1.9,2.9,9.8,5.31,10.2
557,B,4.830612687511296,3.68,8.07,1.42,2.5,2.6,9.899999999999999,4.44,11.1
558,C,3.2760118768557582,1.61,9.36,1.4,1.7000000000000002,2.8,9.399999999999999,3.72,12.0
559,A,4.205782747603834,3.48,8.93,1.4,1.9,2.3,8.2,4.16,6.2
560,B,4.895124113475178,3.46,10.71,1.4,2.5,2.9,9.8,4.71,8.1
561,C,4.115077155122404,2.99,9.09,1.3,2.5,2.2,9.0,3.59,7.9
562,A,4.155078467411283,2.52,8.37,1.35,2.5,2.5,10.899999999999999,4.22,8.8
563,B,2.8785201373712144,1.62,7.52,1.38,2.2,2.3,9.100000000000001,2.84,9.4
564,C,3.42820178041543,1.8,8.65,1.34,2.8,3,10.9,3.26,8.8
565,A,4.566052278820376,3.09,8.76,0,2.0,2.4,10.0,5.03,7.9
566,B,,,,,0.0,,0.0,,
567,C,,,,,0.0,,0.0,,
568,A,4.991197854588796,2.38,7.6,1.36,1.7999999999999998,2.4,8.0,5.46,4.1
569,B,3.1672835729580915,1.6,7.54,1.4,2.0,2.9,9.1,3.48,7.0
570,C,3.054589466421343,1.48,7.34,1.24,2.4000000000000004,2.3,9.899999999999999,3.59,6.0
571,A,3.906550079491256,2.2,6.02,1.39,1.8,2.8,9.6,4.2,6.3
572,B,3.8982849965745605,2.29,6.6,1.24,2.5,3,9.8,4.07,7.6
573,C,3.879012738853503,2.29,6.73,1.28,2.8,2.7,8.8,4.42,8.5
574,A,4.524848605050907,2.97,6.68,1.38,2.1,2.4,9.0,4.96,7.6
575,B,3.9581696801112654,1.92,9.1,1.26,2.0,2.8,10.100000000000001,4.3,6.9
576,C,4.218479262672812,2.59,7.42,1.32,1.9,2.1,8.1,4.4,7.2
577,A,4.3487879538976335,2.59,6.94,1.41,2.3,2.6,9.7,5,7.1
578,B,4.2644483201762435,3.27,6.57,1.27,2.3,3,11.8,4.2,5.1
579,C,2.915053456878118,2.34,6.93,1.34,2.1,4.1,11.3,3.96,8.2
580,A,4.170308331511043,2.82,7.61,1.24,1.6,2.3,9.2,3.17,9.5
581,B,2.5850632911392406,2.23,7.94,,2.4,3.1,9.2,4.43,11.0
582,C,3.176037640425102,2.569112903225806,6.29574193548387,1.29,2.0,2.5,9.5,3.283306451612903,12.2
583,A,4.836388480392157,3.43,9.3,1.29,2.0,2.9,9.6,5.01,16.0
584,B,5.022689609908549,3.937983870967742,8.66597444089457,1.57,2.5,2.6,10.4,5.681597444089458,17.1
585,C,4.30806401797147,2.706,8.679839999999999,1.29,2.3,3.1,10.2,4.396415999999999,14.8
586,A,4.778141414141413,3.85,8.92,1.33,1.9,2.9,9.3,4.15,14.600000000000001
587,B,4.716181277860327,3.19,8.34,1.42,2.6,3.3,10.6,5.2,23.3
588,C,4.398189977561705,2.88,8.43,1.4,1.9,2.5,8.3,3.93,17.0
589,A,4.560080777483277,2.98,7.97,1.48,2.2,3.3,10.5,4.72,17.4
590,B,3.9318598524762907,2.09,7.75,1.41,2.4,2.5,10.3,4.33,16.1
591,C,3.5073172767378082,1.91,8.03,1.38,1.7,2.6,9.2,3.46,12.5
592,A,3.935333978702808,2.55,8.12,1.28,1.7,2.6,10.5,4.23,15.2
593,B,5.372296371849046,4.62,7.95,1.27,2.1,2.8,11.3,5.32,20.2
594,C,4.662976209232708,2.5,8.23,1.44,2.2,2.3,7.699999999999999,5.94,17.1
595,A,3.7809738186462325,2.05,9.0,1.46,2.3,2.8,8.2,4.21,9.899999999999999
596,B,4.087788804071247,3.32,8.26,1.31,2.0,2.4,9.6,4.03,13.899999999999999
597,C,4.200658834927941,3.35,8.69,1.36,2.3,2.3,9.9,4.33,10.8
598,A,3.977653520619485,2.53,8.71,1.32,2.4,3.3,11.100000000000001,4.46,15.6
599,B,4.352116169032469,2.84,8.68,1.43,2.5,3.1,9.1,4.77,13.7
600,C,3.8423526416295353,3.12,7.32,1.42,2.4,3.6,9.8,3.56,15.1
601,A,3.5660286591606956,3.05,6.77,1.25,2.8,2.9,10.1,3.19,13.4
602,B,3.5047421351211963,2.71,7.21,1.28,2.0,2.5,11.0,3.35,12.3
603,C,3.402692917225405,2.4,7.39,1.4,1.7999999999999998,2.2,8.899999999999999,3.44,18.3
604,A,3.6703130755064457,2.97,7.65,,1.7,3,9.600000000000001,3.9,12.2
605,B,3.8203530018036584,2.97,7.65,,1.7,3,9.600000000000001,3.9,12.2
606,C,3.752587264413962,2.95,6.53,1.23,2.2,3.2,9.5,3.61,15.2
607,A,4.632977818641535,2.95,7.89,1.27,2.6,3.8,10.0,4.12,15.5
608,B,3.5086341244961927,2.49,8.35,1.27,2.7,3.5,10.0,3.54,15.299999999999999
609,C,4.3572148541114055,1.89,8.5,1.28,2.5,3.2,9.5,4.32,16.9
610,A,4.569407531165661,3.62,8.64,1.31,2.8,3.2,8.9,4.74,18.0
611,B,3.7806815728604475,2.17,9.09,1.35,1.5,2.4,8.3,4.45,14.0
612,C,3.2450366560892876,1.86,8.78,1.34,2.5,2.9,9.0,2.96,15.399999999999999
613,A,3.4663817043288865,2.44,7.04,1.35,2.3,2.8,9.6,3.53,18.7
614,B,3.4661579414374453,1.89,8.51,1.41,2.5,3,9.7,4.29,16.2
615,C,3.7353768784759196,2.67,8.79,1.33,2.7,3.3,10.8,3.61,15.7
616,A,3.7809781158259943,2.35,9.06,1.37,2.5,3.5,9.5,3.52,9.5
617,B,3.5327976190476194,2.04,8.22,1.33,2.8,3.3,9.8,3,13.5
618,C,3.609960648148148,2.8,8.73,1.29,2.3,3.1,11.2,3.24,14.4
619,A,3.0738508968609866,2.41,8.64,1.27,2.2,2.6,8.7,3.46,12.1
620,B,4.496754583921015,4.04,7.33,1.22,2.3,2.9,9.4,4.38,9.6
621,C,3.740587109125718,3.16,8.53,1.39,2.7,2.5,10.8,3.53,7.4
