,Shift,WROM_Al2O3,SO_Al2O3,SL_Al2O3,SL_PulpDen,SL_60,SL_100,SL_300,CFO_Al2O3,CFO_10,Date
202,A,3.3093682262754425,2.31,7.01,1.51,3.6999999999999997,4.2,11.8,2.17,29.1,2023-06-07
208,A,3.6960492125984254,2.48,7.89,1.32,3.6999999999999997,4.5,11.6,4.15,31.7,2023-06-09
211,A,4.007035938797297,1.53,8.11,1.37,3.6999999999999997,4.1,11.8,5.32,27.2,2023-06-10
214,A,4.890223690899847,2.47,9.66,1.25,2.4,3.2,9.1,5.02,14.4,2023-06-11
217,A,4.039089952041174,2.6,8.58,1.31,2.3,2.6,11.6,4.22,11.1,2023-06-12
220,A,5.314893970893971,2.98,10.15,1.23,1.8,2.7,10.5,6.3,23.2,2023-06-13
223,A,4.6089143612917445,3.11,7.71,1.48,2.9,3.7,11.8,4.56,15.8,2023-06-14
226,A,4.981866265699628,2.52,8.0,1.44,2.4,3.2,10.0,6.93,18.3,2023-06-15
229,A,5.159809885931559,3.48,9.81,1.29,2.1,3,10.8,4.68,21.1,2023-06-16
232,A,4.358685169940021,2.84,7.77,1.35,2.9000000000000004,3.8,11.3,4.18,23.2,2023-06-17
235,A,5.901502782931354,2.82,9.48,1.2,2.5999999999999996,3.2,11.2,7.82,30.8,2023-06-18
238,A,3.92689381933439,2.17,8.68,1.39,2.3000000000000003,0.9,2.0,4.53,14.4,2023-06-19
241,A,4.098010084860411,2.41,9.53,1.28,2.8000000000000003,3,9.899999999999999,4.5,15.7,2023-06-20
244,A,5.140216872264226,3.27,8.95,1.29,1.7000000000000002,2.8,9.6,5.25,29.4,2023-06-21
247,A,4.430154111228104,2.24,8.36,1.31,2.3,2.9,10.4,4.08,12.2,2023-06-22
250,A,3.9957051974552877,3.1,7.98,1.3,2.8,2.8,10.2,3.93,26.1,2023-06-23
253,A,4.837338576212249,3.218418972332016,8.134658385093168,1.29,1.7000000000000002,2.9,10.100000000000001,4.785093167701863,25.6,2023-06-24
256,A,5.3166500349266546,2.27,9.41,1.45,2.5,3.6,11.8,7.2,30.4,2023-06-25
259,A,4.24143848194246,2.68,6.38,1.29,3.0,4.2,9.6,3.69,15.8,2023-06-26
265,A,5.313653615181359,3.11,7.96,1.25,3.5,4.9,9.899999999999999,4.58,12.7,2023-06-28
268,A,4.367690884420871,3.4,8.51,1.32,2.6,2.9,11.3,4.24,18.8,2023-06-29
271,A,4.248125348967058,2.61,9.15,1.49,2.8,3.2,12.2,4.48,23.700000000000003,2023-06-30
274,A,4.453924065152557,3.57,6.53,1.32,2.4,2.9,11.5,4.51,22.599999999999998,2023-07-01
277,A,4.98957512045554,3.57,8.21,1.39,2.8,2.2,11.2,5.43,25.099999999999998,2023-07-02
280,A,5.268308029689608,3.57,8.25,1.35,2.6,3.2,11.2,6.11,7.6,2023-07-03
283,A,3.585789363484087,2.97,7.2,1.31,2.5999999999999996,2.9,11.600000000000001,3.51,16.8,2023-07-04
286,A,4.102758354472262,3.27,9.53,1.32,2.0,3.2,11.100000000000001,3.77,9.0,2023-07-05
289,A,4.091728630798607,3.3,8.27,1.37,2.8,4.1,11.100000000000001,4.11,30.7,2023-07-06
292,A,4.00233422340899,2.58,8.63,1.48,2.5,3.5,10.2,5.15,20.8,2023-07-07
295,A,3.923832407104718,2.23,8.21,1.38,3.1999999999999997,4,10.7,4.37,18.0,2023-07-08
298,A,3.794830868948755,2.72,6.74,1.44,2.1,3.5,11.399999999999999,3.71,27.6,2023-07-09
301,A,3.782972635403656,3.0,7.7,1.46,2.5,2.4,11.1,3.18,8.1,2023-07-10
304,A,4.200285182000574,2.68,8.15,1.38,2.9000000000000004,3.4,13.0,4.78,22.4,2023-07-11
307,A,3.815527219735609,1.99,8.77,1.42,2.2,3,10.6,3.23,9.8,2023-07-12
310,A,3.570648528595225,1.76,8.21,1.36,2.3,2.9,10.4,3.77,32.6,2023-07-13
319,A,3.3597272047832587,1.81,8.47,1.35,2.5,3.3,13.399999999999999,3.3,19.6,2023-07-16
322,A,4.30395910481404,3.01,8.88,1.4,2.7,3.2,10.8,4.95,20.8,2023-07-17
325,A,4.693223417794747,2.52,8.37,1.26,2.6,3.1,11.0,3.34,6.9,2023-07-18
328,A,4.302445520581114,2.63,8.78,1.35,2.5,2.6,10.8,4.25,15.8,2023-07-19
331,A,4.824490337248958,2.79,8.85,1.49,2.0,2.6,8.1,3.81,18.3,2023-07-20
334,A,3.6122707319966785,2.33,7.71,1.41,2.6,3.1,9.5,2.99,21.4,2023-07-21
337,A,4.276022835394862,2.83,8.14,1.35,2.5,3.1,10.7,3,20.7,2023-07-22
340,A,4.532658109926508,3.4,7.68,1.43,2.5,3,9.6,4.01,14.4,2023-07-23
343,A,3.82221285696314,2.49,7.53,1.28,2.0,3.2,9.7,3.75,14.2,2023-07-24
346,A,3.2597458466277915,1.98,7.94,1.28,3.3,3.4,10.100000000000001,3.55,13.5,2023-07-25
349,A,3.772420197975754,2.38,7.65,1.31,2.8,3.4,11.2,3.85,20.0,2023-07-26
352,A,3.952238169993272,2.58,8.01,1.2,2.0,3,8.8,3.83,14.2,2023-07-27
355,A,3.6728365511769376,2.29,8.43,1.35,2.5,2.4,11.2,3.75,21.1,2023-07-28
358,A,3.1483560497369676,2.01,6.74,1.38,2.7,3.3,10.600000000000001,2.9,17.3,2023-07-29
361,A,3.769858241230178,1.97,9.63,1.23,2.3,2.9,9.6,2.79,11.4,2023-07-30
364,A,4.412586835074083,2.77,10.37,1.42,2.4000000000000004,3.4,10.8,3.36,20.9,2023-07-31
367,A,4.225650157670191,1.82,9.74,1.5,2.1,2.8,7.3,3.27,21.5,2023-08-01
370,A,5.211551834334655,3.79,9.29,1.35,1.8,2.8,9.6,4.35,16.599999999999998,2023-08-02
373,A,3.923352826510721,2.19,8.7,1.44,2.0,2.7,9.0,4.05,10.5,2023-08-03
376,A,3.8265647764605055,2.37,6.38,1.4,2.7,3,10.2,3.82,17.0,2023-08-04
379,A,4.5305831363278175,3.36,6.34,1.37,1.5,2.7,10.0,4.56,13.2,2023-08-05
382,A,4.375373058744091,3.1,6.86,1.38,2.4,3.1,10.899999999999999,4.27,11.799999999999999,2023-08-06
385,A,3.256439501275149,1.92,5.97,1.24,3.8,3.3,9.399999999999999,3.12,15.8,2023-08-07
388,A,3.608557631211082,2.25,6.92,1.33,2.4,3.4,10.7,3.25,17.4,2023-08-08
391,A,3.172688093498904,1.88,6.49,1.37,2.0,2.1,9.1,2.95,17.0,2023-08-09
394,A,4.00059450122355,1.76,7.07,1.42,2.4000000000000004,2.6,9.3,3.04,15.0,2023-08-10
397,A,3.349001694094869,2.07,7.14,1.49,2.5,2.6,9.8,3.1,16.0,2023-08-11
400,A,3.4592460041695627,2.27,7.3,1.49,2.3,3.2,8.899999999999999,3.79,18.0,2023-08-12
403,A,4.186100989653622,2.15,8.2,1.34,2.4000000000000004,2.7,10.399999999999999,4.42,14.5,2023-08-13
406,A,3.0035409678965017,2.45,8.25,1.31,2.1,3.1,11.7,3.63,12.1,2023-08-14
409,A,2.884030150753769,2.69,4.16,1.43,2.5,3.2,10.9,2.57,15.0,2023-08-15
412,A,4.277842323651452,2.03,9.35,1.41,1.3,2.6,9.899999999999999,4.69,16.8,2023-08-16
415,A,3.9887393021724815,2.56,6.57,1.27,2.4,2.6,10.2,3.58,12.6,2023-08-17
418,A,3.2261033541967583,2.19,7.19,1.24,2.4,3.3,11.600000000000001,4.42,17.4,2023-08-18
421,A,3.3851463576563963,2.332589641434263,5.960030487804879,1.27,2.0,3,11.6,3.7635059760956175,14.1,2023-08-19
424,A,3.0334144447320734,1.81,9.34,1.39,2.5,2.9,10.8,2.98,20.5,2023-08-20
427,A,3.6437758560243076,2.81,8.75,1.43,2.2,2.8,11.399999999999999,3.02,13.8,2023-08-21
430,A,4.396598919840819,4.71,8.46,1.51,2.1,2.9,9.4,3.75,12.8,2023-08-22
433,A,3.674104395604396,3.02,7.82,1.48,1.2,1.4,4.5,3.39,11.9,2023-08-23
436,A,4.342130555094361,3.7623529411764705,8.020030959752322,1.49,2.2,2.4,9.5,3.2896470588235296,14.7,2023-08-24
442,A,4.99186123805567,2.59,8.309999999999999,1.4,2.9000000000000004,2.9,10.7,4.09,6.1,2023-08-26
445,A,4.560981406402908,3.34,8.71,1.38,1.9,2.2,8.5,4.83,18.1,2023-08-27
448,A,4.7014321758981135,3.48,9.53,1.35,2.5,3.1,9.100000000000001,3.69,13.299999999999999,2023-08-28
451,A,5.472604637157482,3.93,10.33,1.29,2.4,2.4,9.7,5.08,11.3,2023-08-29
454,A,3.822889077876322,2.45,7.61,1.22,2.4000000000000004,3.3,10.6,3.62,16.3,2023-08-30
457,A,3.7079630732578917,1.81,7.22,1.31,2.5,2.6,9.399999999999999,3.95,12.3,2023-08-31
460,A,3.899272952853598,2.01,6.43,1.38,2.5,3.2,11.2,4.31,12.7,2023-09-01
463,A,4.239691640568538,2.99,7.86,1.28,3.1,2.9,9.1,3.42,11.6,2023-09-02
466,A,3.380582870172439,2.36,7.57,1.28,3.5,2.6,9.4,3.01,12.3,2023-09-03
469,A,4.550887141433161,3.36,8.36,1.32,2.3,2.3,8.2,4.2,9.1,2023-09-04
472,A,4.374932735426009,2.32,8.89,1.42,2.4,2.6,9.7,4.34,17.6,2023-09-05
475,A,4.013165532879818,2.64,8.71,1.33,2.2,2.3,9.7,3.31,14.9,2023-09-06
