,Shift,WROM_Al2O3,SO_Al2O3,SL_Al2O3,SL_PulpDen,SL_60,SL_100,SL_300,CFO_Al2O3,CFO_10,Date
844,A,3.6687877702137826,2.82,9.04,1.38,2.1,2.9,9.8,2.98,14.0,2024-01-07
847,A,2.835017227235438,1.54,7.35,1.42,1.5,2.8,11.0,2.8,27.1,2024-01-08
850,A,4.368910233176272,2.66,7.78,1.5,2.1,2.4,9.6,5.15,5.6,2024-01-09
853,A,4.321073552879733,3.01,8.7,1.32,2.7,2.9,10.600000000000001,4.36,10.1,2024-01-10
856,A,3.2622252850519984,2.04,8.23,1.31,2.9,2.9,9.899999999999999,3.38,10.7,2024-01-11
859,A,3.5237976487353047,2.18,7.89,1.32,1.7000000000000002,3.7,11.899999999999999,3.39,8.7,2024-01-12
862,A,3.7669446485427382,2.59,8.6,1.29,2.1,2.7,9.7,3.48,10.6,2024-01-13
865,A,7.045006927824663,5.42,11.65,1.32,1.6,2.9,9.2,5.17,20.299999999999997,2024-01-14
868,A,5.356437079233558,2.83,11.01,1.36,1.9,2.1,9.7,4.93,8.6,2024-01-15
871,A,5.657236066452304,3.92,10.92,1.36,1.7000000000000002,2,10.3,5.91,7.300000000000001,2024-01-16
874,A,5.424950224791265,3.62,9.12,1.27,1.6,2.3,8.3,5.79,12.3,2024-01-17
877,A,4.977089163871863,3.53,9.69,1.48,1.6,2.6,9.3,4.99,8.799999999999999,2024-01-18
880,A,4.724092749355908,4.32,9.72,1.34,1.6,2.3,8.899999999999999,4.07,7.9,2024-01-19
883,A,5.960367295243457,5.28,10.49,1.37,2.3,3,11.5,6.52,10.4,2024-01-20
886,A,5.167770658123081,4.68,10.47,1.32,1.7999999999999998,2.3,8.0,4.59,11.3,2024-01-21
889,A,5.508446445370246,2.67,8.93,1.24,2.2,2.9,9.1,6.13,12.5,2024-01-22
892,A,7.678823982539479,5.98,10.31,1.36,2.1,3.2,9.6,7.45,5.8,2024-01-23
895,A,5.2236667713567835,4.1,9.71,1.35,1.8,3.1,10.0,5.45,8.9,2024-01-24
898,A,5.543123834390152,4.38,9.83,1.34,2.2,3.7,13.600000000000001,5.71,7.6,2024-01-25
901,A,3.754109133581068,2.91,6.99,1.32,2.0,2.7,9.8,3.31,11.2,2024-01-26
904,A,4.591375268048607,3.19,9.59,1.38,1.7,2.4,9.2,3.97,6.2,2024-01-27
907,A,4.261312405446294,2.81,9.57,1.23,2.5,3.4,10.7,3.59,17.6,2024-01-28
910,A,4.266341271918346,2.53,9.23,1.26,1.7,2,9.7,4.44,9.1,2024-01-29
913,A,3.9562231595092023,2.5,10.02,1.28,1.2,2.6,9.1,4.13,12.9,2024-01-30
916,A,4.532319044272664,3.03,10.31,1.29,2.5,3.1,10.8,4.5,10.7,2024-01-31
922,A,6.427715930902112,5.24,10.0,0,1.8,2.2,4.9,6.04,24.400000000000002,2024-02-02
925,A,5.672721697331344,3.67,10.68,1.46,4.0,6.1,11.2,5.58,15.7,2024-02-03
928,A,3.7125177498634625,1.67,9.29,1.37,2.0,2.8,5.5,4.38,17.400000000000002,2024-02-04
931,A,5.101514592225171,3.47,9.13,1.45,2.2,2.9,6.2,5.92,13.6,2024-02-05
934,A,6.044822588705647,3.9,10.04,1.39,2.1,2.8,5.1,6.75,8.8,2024-02-06
937,A,4.341481823783118,3.18,9.6,1.47,1.5,2.8,5.6,4.78,13.5,2024-02-07
940,A,4.741125239505313,3.2,9.58,1.48,2.3,3.3,5.9,5.06,9.5,2024-02-08
943,A,5.316326092146097,3.73,10.76,1.39,2.0,3.7,7.1,5.65,13.5,2024-02-09
946,A,5.227436969124983,4.48,7.37,1.35,1.6,2.1,5.3,4.98,6.9,2024-02-10
949,A,5.554481583644329,3.9,9.06,1.45,1.9,2.1,5.1,5.74,15.0,2024-02-11
952,A,4.927790272320824,3.4,8.95,1.45,1.9,3,4.9,5.24,11.4,2024-02-12
955,A,5.604519640832545,5.307874015748032,9.195,1.46,2.1,2.2,5.6,4.741700787401576,7.8,2024-02-13
958,A,5.883775577557755,4.09,10.16,1.41,2.7,3.6,5.1,6.34,11.6,2024-02-14
961,A,5.680708482901945,4.51,10.4,1.43,2.3,3.3,4.9,5.23,10.700000000000001,2024-02-15
964,A,5.709659875399899,3.94,7.01,1.32,2.6,2.9,6.2,6.77,14.0,2024-02-16
967,A,4.588515827711468,3.54,8.52,1.44,2.4000000000000004,2.9,5.3,4.99,13.7,2024-02-17
970,A,4.613111111111111,4.1,8.97,1.44,2.7,3.1,5.1,4.28,14.299999999999999,2024-02-18
973,A,5.380245380187823,4.02,9.54,1.51,1.3,2.2,5.1,6.08,16.5,2024-02-19
976,A,4.227823875802997,2.66,7.56,1.5,2.5,2.9,6.4,4.5,12.2,2024-02-20
979,A,5.113892744479496,4.39,6.03,1.69,2.0,2.8,4.9,5.5,25.900000000000002,2024-02-21
982,A,4.758274002157497,3.1,9.74,1.32,2.7,2.9,5.9,4.8,10.5,2024-02-22
985,A,5.285583256790447,3.23,10.2,1.39,1.3,2.2,5.5,5.53,15.399999999999999,2024-02-23
988,A,6.0279597821533315,3.76,9.22,0,2.6,3.5,6.4,5.19,18.5,2024-02-24
991,A,6.018209318996416,3.45,9.01,0,2.7,3.1,5.9,5.2,9.4,2024-02-25
994,A,4.71392725355825,3.02,9.29,1.4,2.1,3.3,6.8,4.59,8.8,2024-02-26
997,A,4.936693467336684,2.8,9.61,1.35,1.8,2.8,5.7,4.4,11.0,2024-02-27
1000,A,4.508888561320755,2.73,8.97,1.3,1.9,2.9,5.6,4.03,9.1,2024-02-28
1003,A,4.701728353140917,3.12,9.59,1.37,2.0,2.6,5.6,4.16,7.0,2024-02-29
